,Star_name,Distance,Mass,Radius,Luminosity,,Star_name,Distance,Mass,Radius
,Star_name,Distance,Mass,Radius,Luminosity,,Star_name,Distance,Mass,Radius

0,Sun,0.000015813,1,1,1,0,SDSS J000013.54+255418.6 [de],46.1,48,0.99

1,Sirius,0008.6,2.1,1.71,25.4,1,2MASS J00040288-6410358,192,19,1.63
